Time stamp,Manual Mode active,Automatic Mode active,Docking Mode active,PLC fault active,PLC warning Active,Safety circuit closed,LED Active,LED RGB Strip left - red,LED RGB Strip right - red,LED RGB Strip left - green,LED RGB Strip right - green,LED RGB Strip left - blue,LED RGB Strip right - blue,LED status - active mode,ActualSpeed_L,ActualSpeed_R,Momentary current consumption mA,Battery cell voltage,Momentary energy consumption mWh,State Of Charge,Total energy consumption uWh,On route status,X-coordinate,Y-coordinate,Heading,Position confidence,Speed,Going to ID,Target reached,Current segment

2025-01-17 07:55:15.826781,0,1,0,0,0,1,1,0,0,0,0,1,1,1,330,329,6220,48825,3080,80,98269.7109375000,1,-3.4937231541,21.7008666992,-1.5532653332,100,0.3297035992,5,0,56
2025-01-17 07:55:16.387334,0,1,0,0,0,1,0,0,0,0,0,0,0,1,301,298,6084,48833,2997,80,98316.8750000000,1,-3.4898085594,21.5567340851,-1.5530670881,100,0.2994984984,5,0,56
2025-01-17 07:55:16.926743,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6207,48769,3014,80,98361.3359375000,1,-3.4873123169,21.3531093597,-1.5527576208,100,0.2990730703,5,0,56
2025-01-17 07:55:17.456852,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,299,6120,48833,2986,80,98406.3437500000,1,-3.4848484993,21.2250499725,-1.5521775484,100,0.2990730703,5,0,56
2025-01-17 07:55:18.675200,0,1,0,0,0,1,1,0,0,0,0,1,1,1,295,299,6250,48798,3063,80,98451.4609375000,1,-3.4860308170,21.0881862640,-1.5510559082,100,0.2973713577,5,0,56
2025-01-17 07:55:18.536877,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,297,6084,48833,2988,80,98495.9843750000,1,-3.4765548706,20.9503459930,-1.5498182774,100,0.2982222140,5,0,56
2025-01-17 07:55:19.967690,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6188,48829,3043,80,98542.4453125000,1,-3.4724998474,20.7535476685,-1.5519840717,100,0.2990730703,5,0,56
2025-01-17 07:55:19.626781,0,1,0,0,0,1,0,0,0,0,0,0,0,1,298,299,6023,48833,2942,80,98586.7343750000,1,-3.4736387730,20.6177158356,-1.5503160954,100,0.2986476421,5,0,56
2025-01-17 07:55:20.156812,0,1,0,0,0,1,1,0,0,0,0,1,1,1,298,299,6221,48763,3034,80,98630.0156250000,1,-3.4708051682,20.4911937714,-1.5490398407,100,0.2986476421,5,0,56
2025-01-17 07:55:20.706746,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,298,6117,48833,2974,80,98676.7109375000,1,-3.4634404182,20.2877922058,-1.5490398407,100,0.2986476421,5,0,56
2025-01-17 07:55:21.236787,0,1,0,0,0,1,1,0,0,0,0,1,1,1,298,299,6318,48763,3079,80,98721.2187500000,1,-3.4629473686,20.1522750854,-1.5488078594,100,0.2986476421,5,0,52
2025-01-17 07:55:21.776778,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,296,6085,48829,2987,80,98766.1484375000,1,-3.4545934200,20.0167846680,-1.5494265556,100,0.2977967858,5,0,52
2025-01-17 07:55:22.307621,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6270,48763,3058,80,98810.8125000000,1,-3.4504871368,19.8200759888,-1.5518630743,100,0.2990730703,5,0,52
2025-01-17 07:55:22.836786,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,297,6072,48827,2964,80,98854.6015625000,1,-3.4452030659,19.6819496155,-1.5513553619,99,0.2982222140,5,0,52
2025-01-17 07:55:23.386756,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,297,6133,48763,3010,80,98900.8359375000,1,-3.4399547577,19.5453147888,-1.5531730652,99,0.2982222140,5,0,52
2025-01-17 07:55:23.916754,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6146,48763,2985,80,98944.4609375000,1,-3.4402530193,19.4202480316,-1.5532068014,98,0.2990730703,5,0,52
2025-01-17 07:55:24.451271,0,1,0,0,0,1,0,0,0,0,0,0,0,1,295,299,6049,48804,2967,80,98989.0625000000,1,-3.4415354729,19.2185249329,-1.5507702827,99,0.2973713577,5,0,52
2025-01-17 07:55:24.986755,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6266,48763,3039,80,99033.6328125000,1,-3.4359080791,19.0805721283,-1.5490299463,99,0.2994984984,5,0,52
2025-01-17 07:55:25.516756,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,299,6107,48763,2963,80,99078.2187500000,1,-3.4327900410,18.9446716309,-1.5491073132,99,0.2994984984,5,0,52
2025-01-17 07:55:26.512760,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6314,48763,3070,80,99122.1093750000,1,-3.4296722412,18.8087463379,-1.5491073132,98,0.2994984984,5,0,52
2025-01-17 07:55:26.596771,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,299,6030,48831,2961,80,99168.2890625000,1,-3.4251904488,18.6138401031,-1.5491073132,98,0.2994984984,5,0,52
2025-01-17 07:55:27.126789,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,297,6223,48763,3037,80,99212.3437500000,1,-3.4194810390,18.4754428864,-1.5494940281,98,0.2982222140,5,0,22
2025-01-17 07:55:27.656765,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,295,6023,48821,2939,80,99256.8281250000,1,-3.4128749371,18.3493900299,-1.5522012711,98,0.2973713577,5,0,22
2025-01-17 07:55:28.207623,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6256,48763,3036,80,99302.2500000000,1,-3.4091951847,18.1436347961,-1.5544831753,99,0.2994984984,5,0,26
2025-01-17 07:55:28.736773,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,299,6107,48765,2951,80,99346.1562500000,1,-3.4068496227,18.0064334869,-1.5543670654,98,0.2990730703,5,0,26
2025-01-17 07:55:29.276802,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6288,48763,3041,80,99391.2968750000,1,-3.4046022892,17.8796691895,-1.5537869930,98,0.2990730703,5,0,26


2025-01-17 08:01:00.936767,0,1,0,0,0,1,1,0,0,0,0,1,1,1,281,293,6257,48691,3034,80,124334.7812500000,1,-1.9493697882,2.7142243385,1.5698791742,95,0.2867357731,2,0,30
2025-01-17 08:01:01.487327,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,294,6128,48691,2984,80,124381.1718750000,1,-1.9481517076,2.8390161991,1.5705802441,96,0.2965205312,2,0,30
2025-01-17 08:01:02.267570,0,1,0,0,0,1,1,0,0,0,0,1,1,1,297,299,6272,48652,3054,80,124425.9921875000,1,-1.9478747845,3.0474402905,1.5698068142,96,0.2982222140,2,0,30
2025-01-17 08:01:02.566786,0,1,0,0,0,1,0,0,0,0,0,0,0,1,295,299,6073,48691,2959,80,124471.4921875000,1,-1.9488997459,3.1841375828,1.5697631836,98,0.2973713577,2,0,30
2025-01-17 08:01:03.967440,0,1,0,0,0,1,1,0,0,0,0,1,1,1,292,299,6267,48643,3044,80,124515.5937500000,1,-1.9461264610,3.3203501701,1.5711891651,98,0.2956696749,2,0,30
2025-01-17 08:01:03.627638,0,1,0,0,0,1,0,0,0,0,0,0,0,1,294,299,6114,48691,2968,80,124560.0000000000,1,-1.9543241262,3.5092084408,1.5743505955,99,0.2969459295,2,0,30
2025-01-17 08:01:04.156765,0,1,0,0,0,1,1,0,0,0,0,1,1,1,295,299,6301,48623,3041,80,124603.3906250000,1,-1.9550484419,3.6467192173,1.5775219202,99,0.2973713577,2,0,30
2025-01-17 08:01:04.686781,0,1,0,0,0,1,0,0,0,0,0,0,0,1,294,299,6097,48691,2979,80,124648.4921875000,1,-1.9548501968,3.7825958729,1.5799535513,99,0.2965205312,2,0,30
2025-01-17 08:01:05.216774,0,1,0,0,0,1,1,0,0,0,0,1,1,1,298,299,6295,48621,3071,80,124692.8203125000,1,-1.9588632584,3.9074840546,1.5823127031,100,0.2986476421,2,0,30
2025-01-17 08:01:05.751256,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,299,6078,48691,2968,80,124736.9218750000,1,-1.9631825686,4.0406160355,1.5829701424,100,0.2994984984,2,0,30
2025-01-17 08:01:06.306771,0,1,0,0,0,1,1,0,0,0,0,1,1,1,298,299,6227,48682,3039,80,124783.9765625000,1,-1.9658982754,4.2467169762,1.5842463970,100,0.2986476421,2,0,30
2025-01-17 08:01:06.836770,0,1,0,0,0,1,1,0,0,0,0,1,1,1,297,299,6023,48691,2934,80,124827.7421875000,1,-1.9679093361,4.3835277557,1.5855613947,100,0.2982222140,2,0,30
