Time stamp,Manual Mode active,Automatic Mode active,Docking Mode active,PLC fault active,PLC warning Active,Safety circuit closed,LED Active,LED RGB Strip left - red,LED RGB Strip right - red,LED RGB Strip left - green,LED RGB Strip right - green,LED RGB Strip left - blue,LED RGB Strip right - blue,LED status - active mode,ActualSpeed_L,ActualSpeed_R,Momentary current consumption mA,Battery cell voltage,Momentary energy consumption mWh,State Of Charge,Total energy consumption uWh,On route status,X-coordinate,Y-coordinate,Heading,Position confidence,Speed,Going to ID,Target reached,Current segment

2025-01-17 07:54:09.516776,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,5382,48973,2636,81,93368.3671875000,1,-5.0905251503,17.2377853394,0.0228211079,98,0.0000000000,1,0,176
2025-01-17 07:54:10.512220,0,1,0,0,0,1,1,0,0,0,0,1,1,1,167,175,6128,48837,2954,81,93409.4218750000,1,-5.0627927780,17.2386112213,0.0255670249,98,0.1710204482,1,0,176
2025-01-17 07:54:10.586730,0,1,0,0,0,1,0,0,0,0,0,0,0,1,292,297,6060,48837,2949,81,93454.4765625000,1,-4.9485025406,17.2461128235,0.0314849094,97,0.2943934202,1,0,176

2025-01-17 07:58:37.836792,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,5571,48903,2718,81,113452.0468750000,1,-5.5978679657,1.6370048523,-0.0042993557,91,0.0000000000,6,0,248
2025-01-17 07:58:38.386798,0,1,0,0,0,1,0,0,0,0,0,0,0,1,168,172,6163,48759,3040,80,113495.8671875000,1,-5.5693221092,1.6355686188,-0.0033711575,90,0.1701695919,6,0,248
2025-01-17 07:58:38.926775,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,299,6218,48763,3029,80,113540.2890625000,1,-5.3793911934,1.6380232573,0.0008830830,89,0.2990730703,6,0,248

2025-01-17 10:52:34.516758,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,5829,43908,2562,59,867673.6250000000,1,-2.3824913502,21.8454113007,-1.5511806011,100,0.0000000000,4,0,208
2025-01-17 10:52:35.512800,0,1,0,0,0,1,1,0,0,0,0,1,1,1,118,123,6123,43838,2685,59,867711.8750000000,1,-2.3820447922,21.8283557892,-1.5514563322,100,0.1208204180,4,0,208
2025-01-17 10:52:35.616760,0,1,0,0,0,1,0,0,0,0,0,0,0,1,294,298,6319,43836,2771,59,867756.3125000000,1,-2.3746995926,21.6768474579,-1.5472069979,100,0.2956696749,4,0,208

