Time stamp,Manual Mode active,Automatic Mode active,Docking Mode active,PLC fault active,PLC warning Active,Safety circuit closed,LED Active,LED RGB Strip left - red,LED RGB Strip right - red,LED RGB Strip left - green,LED RGB Strip right - green,LED RGB Strip left - blue,LED RGB Strip right - blue,LED status - active mode,ActualSpeed_L,ActualSpeed_R,Momentary current consumption mA,Battery cell voltage,Momentary energy consumption mWh,State Of Charge,Total energy consumption uWh,On route status,X-coordinate,Y-coordinate,Heading,Position confidence,Speed,Going to ID,Target reached,Current segment

2025-01-17 07:57:23.876769,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,298,6111,48699,2966,80,108572.5781250000,1,-5.3453240395,1.6395775080,-3.1386015415,99,0.2986476421,5,0,250
2025-01-17 07:57:24.406807,0,1,0,0,0,1,0,0,0,0,0,0,0,1,111,108,5550,48833,2731,80,108614.4453125000,1,-5.4377675056,1.6341458559,-3.1401100159,99,0.1093339697,5,0,250
2025-01-17 07:57:24.936769,0,1,0,0,0,1,1,0,0,0,0,1,1,1,100,98,5676,48833,2769,80,108654.3046875000,1,-5.4830751419,1.6367064714,-3.1414248943,100,0.0986983702,5,0,250
2025-01-17 07:57:25.486787,0,1,0,0,0,1,0,0,0,0,0,0,0,1,100,99,5530,48833,2701,80,108696.7265625000,1,-5.5519881248,1.6341531277,3.1400973797,100,0.0991237834,5,0,250
2025-01-17 07:57:26.167850,0,1,0,0,0,1,1,0,0,0,0,1,1,1,100,99,5683,48833,2789,80,108736.7343750000,1,-5.5939936638,1.6342318058,3.1395173073,100,0.0991237834,5,0,250
2025-01-17 07:57:26.551193,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,4708,49041,2331,81,108775.5468750000,1,-5.6164398193,1.6342754364,3.1392464638,100,0.0000000000,5,1,250

2025-01-17 10:51:20.886763,0,1,0,0,0,1,1,0,0,0,0,1,1,1,299,298,6037,43904,2672,59,863167.9375000000,1,-2.3737876415,21.5852870941,1.5900963545,99,0.2982222140,2,0,210
2025-01-17 10:51:21.416775,0,1,0,0,0,1,0,0,0,0,0,0,0,1,106,106,5830,43908,2567,59,863206.6875000000,1,-2.3780674934,21.6792964935,1.5897096395,98,0.1063559949,2,0,210
2025-01-17 10:51:21.950997,0,1,0,0,0,1,1,0,0,0,0,1,1,1,100,100,5971,43908,2619,59,863244.1875000000,1,-2.3794043064,21.7474555969,1.5889748335,99,0.0995492116,2,0,210
2025-01-17 10:51:22.486765,0,1,0,0,0,1,0,0,0,0,0,0,0,1,100,100,5780,43908,2550,59,863283.3750000000,1,-2.3802187443,21.7922458649,1.5889748335,99,0.0995492116,2,0,210
2025-01-17 10:51:23.167780,0,1,0,0,0,1,1,0,0,0,0,1,1,1,74,75,5826,43908,2558,59,863320.7500000000,1,-2.3784735203,21.8366680145,1.5890134573,99,0.0744491965,2,0,210
2025-01-17 10:51:23.551612,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,4740,44119,2091,60,863354.0625000000,1,-2.3785781860,21.8449974060,1.5890522003,98,0.0000000000,2,1,210

2025-01-17 10:53:16.327329,0,1,0,0,0,1,0,0,0,0,0,0,0,1,299,297,6075,43836,2669,59,870839.0000000000,1,-4.8481411934,17.2687149048,-3.1043281555,99,0.2982222140,4,0,178
2025-01-17 10:53:16.896822,0,1,0,0,0,1,1,0,0,0,0,1,1,1,100,100,5904,43836,2562,59,870879.4375000000,1,-4.9671750069,17.2643337250,-3.1052949429,99,0.0999746397,4,0,178
2025-01-17 10:53:17.426774,0,1,0,0,0,1,0,0,0,0,0,0,0,1,100,99,5829,43855,2558,59,870917.9375000000,1,-5.0108742714,17.2626171112,-3.1058363914,99,0.0991237834,4,0,178
2025-01-17 10:53:17.956810,0,1,0,0,0,1,1,0,0,0,0,1,1,1,100,99,5972,43836,2615,59,870954.7500000000,1,-5.0584239960,17.2609291077,-3.1064553261,99,0.0991237834,4,0,178
2025-01-17 10:53:18.507319,0,1,0,0,0,1,0,0,0,0,0,0,0,1,75,74,5628,43908,2471,59,870994.8750000000,1,-5.0996627808,17.2593994141,-3.1070353985,100,0.0744491965,4,0,178
2025-01-17 10:53:19.512370,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,4789,44119,2113,60,871027.5625000000,1,-5.1079769135,17.2592029572,-3.1071126461,100,0.0000000000,4,1,178

