Time stamp,Manual Mode active,Automatic Mode active,Docking Mode active,PLC fault active,PLC warning Active,Safety circuit closed,LED Active,LED RGB Strip left - red,LED RGB Strip right - red,LED RGB Strip left - green,LED RGB Strip right - green,LED RGB Strip left - blue,LED RGB Strip right - blue,LED status - active mode,ActualSpeed_L,ActualSpeed_R,Momentary current consumption mA,Battery cell voltage,Momentary energy consumption mWh,State Of Charge,Total energy consumption uWh,On route status,X-coordinate,Y-coordinate,Heading,Position confidence,Speed,Going to ID,Target reached,Current segment

2025-01-17 07:56:12.186778,0,1,0,0,0,1,1,0,0,0,0,1,1,1,128,148,5777,48833,2821,80,102812.1640625000,1,-2.4356355667,12.4681673050,-2.2757911682,100,0.1382628083,5,0,252
2025-01-17 07:56:12.716785,0,1,0,0,0,1,1,1,1,1,1,0,0,3,89,150,5924,48831,2893,80,102854.1796875000,1,-2.4694120884,12.4211893082,-2.2433428764,100,0.1195441484,5,0,252
2025-01-17 07:56:13.251347,0,1,0,0,0,1,1,0,0,0,0,1,1,3,72,150,5728,48833,2797,80,102895.8515625000,1,-2.4924876690,12.3810787201,-2.1931042671,96,0.1110356599,5,0,252
2025-01-17 07:56:13.796755,0,1,0,0,0,1,1,1,1,1,1,0,0,3,66,150,5923,48833,2890,80,102939.5468750000,1,-2.5134794712,12.3169612885,-2.0968630314,77,0.1080577001,5,0,252
2025-01-17 07:56:14.326783,0,1,0,0,0,1,1,1,1,1,1,0,0,3,67,150,5728,48833,2797,80,102981.0390625000,1,-2.5384137630,12.2714157104,-2.0259690285,67,0.1084831282,5,0,252
2025-01-17 07:56:14.856797,0,1,0,0,0,1,1,0,0,0,0,1,1,3,71,150,5924,48821,2891,80,103023.7578125000,1,-2.5537774563,12.2302045822,-1.9556282759,67,0.1101848260,5,0,252
2025-01-17 07:56:15.387303,0,1,0,0,0,1,1,1,1,1,1,0,0,3,77,150,5832,48833,2803,80,103064.7265625000,1,-2.5666215420,12.1856632233,-1.8933805227,74,0.1135882065,5,0,252
2025-01-17 07:56:15.926767,0,1,0,0,0,1,1,0,0,0,0,1,1,3,88,150,5778,48833,2825,80,103107.9921875000,1,-2.5997004509,12.1088390350,-1.8097296953,71,0.1191187203,5,0,252
2025-01-17 07:56:16.456786,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,150,5923,48833,2891,80,103148.6718750000,1,-2.6158058643,12.0552845001,-1.7568253279,75,0.1242238134,5,0,252
2025-01-17 07:56:16.986769,0,1,0,0,0,1,1,0,0,0,0,1,1,3,110,150,5777,48833,2821,80,103191.9375000000,1,-2.6256282330,11.9950799942,-1.7106099129,88,0.1297543198,5,0,252
2025-01-17 07:56:17.517316,0,1,0,0,0,1,1,1,1,1,1,0,0,3,116,150,5974,48765,2913,80,103233.7343750000,1,-2.6317472458,11.9389820099,-1.6804672480,93,0.1327322870,5,0,252
2025-01-17 07:56:18.512950,0,1,0,0,0,1,1,0,0,0,0,1,1,1,124,150,5777,48833,2821,80,103275.0078125000,1,-2.6406209469,11.8473024368,-1.6433243752,96,0.1369865388,5,0,252
2025-01-17 07:56:18.596760,0,1,0,0,0,1,0,0,0,0,0,0,0,1,128,150,5628,48833,2748,80,103317.6875000000,1,-2.6447875500,11.7824583054,-1.6228554249,96,0.1391136497,5,0,252
2025-01-17 07:56:19.126765,0,1,0,0,0,1,1,0,0,0,0,1,1,1,131,150,5777,48833,2821,80,103358.5703125000,1,-2.6449759007,11.7248382568,-1.6074578762,97,0.1403899342,5,0,252
2025-01-17 07:56:19.657601,0,1,0,0,0,1,0,0,0,0,0,0,0,1,134,150,5626,48833,2746,80,103399.8906250000,1,-2.6501026154,11.6325407028,-1.5846635103,96,0.1416661739,5,0,252
2025-01-17 07:56:20.196781,0,1,0,0,0,1,1,0,0,0,0,1,1,1,135,150,5823,48833,2838,80,103441.4765625000,1,-2.6506686211,11.5683288574,-1.5715090036,96,0.1425170302,5,0,252
2025-01-17 07:56:20.726751,0,1,0,0,0,1,0,0,0,0,0,0,0,1,212,222,6010,48763,2919,80,103483.3984375000,1,-2.6501765251,11.4909687042,-1.5583109856,96,0.2169662416,5,0,252


2025-01-17 07:56:36.216781,0,1,0,0,0,1,1,0,0,0,0,1,1,1,146,145,5802,48833,2845,80,104731.0781250000,1,-2.8945782185,8.6506834030,-2.3189969063,97,0.1454949975,5,0,222
2025-01-17 07:56:36.751201,0,1,0,0,0,1,1,1,1,1,1,0,0,3,106,150,5916,48800,2871,80,104771.9218750000,1,-2.9364631176,8.6038055420,-2.3048517704,98,0.1276271939,5,0,222
2025-01-17 07:56:37.286741,0,1,0,0,0,1,1,0,0,0,0,1,1,3,82,150,5728,48833,2797,80,104814.3203125000,1,-2.9614717960,8.5654964447,-2.2656066418,96,0.1157153249,5,0,222
2025-01-17 07:56:37.826757,0,1,0,0,0,1,1,0,0,0,0,1,1,3,72,150,5924,48763,2889,80,104857.3671875000,1,-2.9827072620,8.5161085129,-2.1865551472,86,0.1110356599,5,0,222
2025-01-17 07:56:38.356786,0,1,0,0,0,1,1,1,1,1,1,0,0,3,70,150,5728,48833,2797,80,104897.9921875000,1,-3.0050411224,8.4734582901,-2.1213254929,77,0.1097593978,5,0,222
2025-01-17 07:56:38.886749,0,1,0,0,0,1,1,0,0,0,0,1,1,3,65,150,5799,48833,2862,80,104941.2031250000,1,-3.0233442783,8.4258699417,-2.0585887432,75,0.1072068512,5,0,222
2025-01-17 07:56:39.417330,0,1,0,0,0,1,1,1,1,1,1,0,0,3,69,150,5871,48831,2860,80,104982.4921875000,1,-3.0504906178,8.3849372864,-1.9876561165,71,0.1093339697,5,0,222
2025-01-17 07:56:39.951281,0,1,0,0,0,1,1,0,0,0,0,1,1,3,77,150,5777,48833,2822,80,105024.9218750000,1,-3.0823988914,8.3170223236,-1.8813962936,91,0.1131627858,5,0,222
2025-01-17 07:56:40.486750,0,1,0,0,0,1,1,1,1,1,1,0,0,3,88,150,5924,48798,2889,80,105067.2656250000,1,-3.1042938232,8.2619266510,-1.8192059994,94,0.1186932921,5,0,222
2025-01-17 07:56:41.167710,0,1,0,0,0,1,1,0,0,0,0,1,1,3,98,150,5777,48833,2821,80,105109.6328125000,1,-3.1147387028,8.2091016769,-1.7701057196,95,0.1237983853,5,0,222
2025-01-17 07:56:41.551195,0,1,0,0,0,1,1,1,1,1,1,0,0,3,106,150,5974,48763,2913,80,105151.5078125000,1,-3.1230142117,8.1573572159,-1.7315349579,96,0.1280526221,5,0,222
2025-01-17 07:56:42.872290,0,1,0,0,0,1,1,0,0,0,0,1,1,3,117,150,5777,48833,2821,80,105194.7265625000,1,-3.1318714619,8.0663375854,-1.6827807426,96,0.1335831434,5,0,222
2025-01-17 07:56:42.616769,0,1,0,0,0,1,0,0,0,0,0,0,0,3,123,150,5628,48833,2748,80,105235.8046875000,1,-3.1407265663,8.0004692078,-1.6545668840,98,0.1361356825,5,0,222
2025-01-17 07:56:43.151251,0,1,0,0,0,1,1,0,0,0,0,1,1,1,126,150,5777,48833,2821,80,105276.6953125000,1,-3.1481294632,7.9426293373,-1.6309603453,98,0.1378373802,5,0,222
2025-01-17 07:56:43.686756,0,1,0,0,0,1,0,0,0,0,0,0,0,1,130,150,5625,48852,2742,81,105318.3984375000,1,-3.1464438438,7.8785481453,-1.6154903173,98,0.1399645060,5,0,222
