Time stamp,Manual Mode active,Automatic Mode active,Docking Mode active,PLC fault active,PLC warning Active,Safety circuit closed,LED Active,LED RGB Strip left - red,LED RGB Strip right - red,LED RGB Strip left - green,LED RGB Strip right - green,LED RGB Strip left - blue,LED RGB Strip right - blue,LED status - active mode,ActualSpeed_L,ActualSpeed_R,Momentary current consumption mA,Battery cell voltage,Momentary energy consumption mWh,State Of Charge,Total energy consumption uWh,On route status,X-coordinate,Y-coordinate,Heading,Position confidence,Speed,Going to ID,Target reached,Current segment

2025-01-17 07:55:04.567550,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,5333,49043,2615,81,97348.1093750000,1,-3.5051016808,21.8180046082,1.5923382044,100,0.0000000000,5,0,56
2025-01-17 07:55:04.587229,0,1,0,0,0,1,0,0,0,0,0,0,0,2,69,-70,5702,48907,2777,81,97386.7968750000,1,-3.5090007782,21.8179531097,1.5792086124,99,-0.0004254204,5,0,56
2025-01-17 07:55:05.116765,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5728,48934,2804,81,97428.5234375000,1,-3.4921154976,21.8164119720,1.4308942556,99,-0.0004254243,5,0,56
2025-01-17 07:55:05.651197,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5875,48903,2873,81,97470.2421875000,1,-3.4999599457,21.8162136078,1.2605342865,99,-0.0004254243,5,0,56
2025-01-17 07:55:06.176778,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5728,48905,2802,81,97511.9375000000,1,-3.5000374317,21.8160247803,1.0919196606,99,-0.0004254243,5,0,56
2025-01-17 07:55:06.716781,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5875,48903,2873,81,97554.5390625000,1,-3.5015013218,21.8170814514,0.8514996171,99,-0.0004254243,5,0,56
2025-01-17 07:55:07.251261,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5687,48903,2788,81,97596.0078125000,1,-3.5029473305,21.8169403076,0.6828849316,98,-0.0004254243,5,0,56
2025-01-17 07:55:07.786788,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5875,48889,2871,81,97638.7343750000,1,-3.5018150806,21.8168239594,0.5160155892,97,-0.0004254243,5,0,56
2025-01-17 07:55:08.317329,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5679,48905,2780,81,97680.0390625000,1,-3.5058879852,21.8154411316,0.3581575453,97,-0.0004254243,5,0,56
2025-01-17 07:55:08.856753,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5900,48903,2873,81,97722.1484375000,1,-3.5087850094,21.8140697479,0.1034902334,98,-0.0004254243,5,0,56
2025-01-17 07:55:09.386756,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5807,48903,2806,81,97764.2500000000,1,-3.5128889084,21.8166656494,-0.0651244149,98,-0.0004254243,5,0,56
2025-01-17 07:55:09.916773,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5736,48903,2826,81,97806.5000000000,1,-3.5091784000,21.8218917847,-0.2229824960,98,-0.0004254243,5,0,56
2025-01-17 07:55:10.451595,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5874,48849,2869,81,97847.7734375000,1,-3.5067732334,21.8206520081,-0.3898518085,98,-0.0004254243,5,0,56
2025-01-17 07:55:10.996788,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5705,48903,2780,81,97891.4375000000,1,-3.5070400238,21.8156013489,-0.6410284638,99,-0.0004254243,5,0,56
2025-01-17 07:55:11.526750,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5875,48868,2873,81,97932.8281250000,1,-3.5045936108,21.8131351471,-0.8078978062,100,-0.0004254243,5,0,56
2025-01-17 07:55:12.867500,0,1,0,0,0,1,1,0,0,0,0,1,1,3,90,-91,5677,48903,2776,81,97977.0156250000,1,-3.5086226463,21.8132934570,-0.9704355597,100,-0.0004254243,5,0,56
2025-01-17 07:55:12.617164,0,1,0,0,0,1,1,1,1,1,1,0,0,3,70,-71,5826,48903,2849,81,98018.3203125000,1,-3.5036189556,21.8110504150,-1.1760432720,100,-0.0004254282,5,0,56
2025-01-17 07:55:13.151310,0,1,0,0,0,1,1,0,0,0,0,1,1,3,59,-60,5628,48903,2752,81,98059.6406250000,1,-3.5063092709,21.8152027130,-1.2856152058,100,-0.0008508466,5,0,56
2025-01-17 07:55:13.686757,0,1,0,0,0,1,1,1,1,1,1,0,0,3,50,-51,5780,48903,2834,81,98101.5859375000,1,-3.5063667297,21.8128376007,-1.3789000511,100,-0.0004254243,5,0,56
2025-01-17 07:55:14.216772,0,1,0,0,0,1,1,0,0,0,0,1,1,3,48,-49,5628,48903,2752,81,98142.5390625000,1,-3.5051004887,21.8104534149,-1.4582183361,100,-0.0004254223,5,0,56
2025-01-17 07:55:14.751311,0,1,0,0,0,1,1,1,1,1,1,0,0,3,27,-28,5728,48903,2801,81,98183.6406250000,1,-3.5051157475,21.8106555939,-1.5389298201,100,-0.0004254252,5,0,56


2025-01-17 07:58:27.875360,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,5333,48973,2612,81,112612.5546875000,1,-5.6177396774,1.6355754137,3.1392464638,100,0.0000000000,6,0,248
2025-01-17 07:58:27.616779,0,1,0,0,0,1,1,1,1,1,1,0,0,3,86,-87,5752,48852,2801,81,112652.1093750000,1,-5.6150250435,1.6355737448,3.1022882462,100,-0.0004254243,6,0,248
2025-01-17 07:58:28.150969,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5728,48903,2801,81,112693.9218750000,1,-5.6148095131,1.6355504990,2.9548149109,100,-0.0004254243,6,0,248
2025-01-17 07:58:28.687299,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5875,48833,2869,80,112736.4453125000,1,-5.6146125793,1.6328970194,2.7858512402,100,-0.0004254243,6,0,248
2025-01-17 07:58:29.226753,0,1,0,0,0,1,1,0,0,0,0,1,1,3,99,-100,5722,48903,2787,81,112778.7578125000,1,-5.6143412590,1.6327571869,2.5350234509,100,-0.0004254243,6,0,248
2025-01-17 07:58:29.756811,0,1,0,0,0,1,1,1,1,1,1,0,0,3,99,-100,5914,48833,2879,80,112820.9687500000,1,-5.6141829491,1.6365282536,2.3681542873,100,-0.0004254243,6,0,248
