Time stamp,Manual Mode active,Automatic Mode active,Docking Mode active,PLC fault active,PLC warning Active,Safety circuit closed,LED Active,LED RGB Strip left - red,LED RGB Strip right - red,LED RGB Strip left - green,LED RGB Strip right - green,LED RGB Strip left - blue,LED RGB Strip right - blue,LED status - active mode,ActualSpeed_L,ActualSpeed_R,Momentary current consumption mA,Battery cell voltage,Momentary energy consumption mWh,State Of Charge,Total energy consumption uWh,On route status,X-coordinate,Y-coordinate,Heading,Position confidence,Speed,Going to ID,Target reached,Current segment

2025-01-17 08:00:49.726765,0,1,0,0,0,1,1,1,1,1,1,0,0,3,53,150,5924,48763,2889,80,123451.8671875000,1,-2.3899025917,1.6758687496,0.1008295566,97,0.1012509093,2,0,262
2025-01-17 08:00:50.256765,0,1,0,0,0,1,1,0,0,0,0,1,1,3,23,150,5726,48763,2791,80,123492.6562500000,1,-2.3460373878,1.6910576820,0.1861513555,93,0.0863610804,2,0,262
2025-01-17 08:00:50.786749,0,1,0,0,0,1,1,1,1,1,1,0,0,3,26,150,5922,48763,2876,80,123535.3515625000,1,-2.3173840046,1.7005295753,0.2859931290,85,0.0876373500,2,0,262
2025-01-17 08:00:51.317160,0,1,0,0,0,1,1,1,1,1,1,0,0,3,26,150,5728,48763,2793,80,123576.7343750000,1,-2.2677516937,1.7227669954,0.4448954165,85,0.0876373500,2,0,262
2025-01-17 08:00:51.851223,0,1,0,0,0,1,1,0,0,0,0,1,1,3,26,150,5924,48763,2889,80,123618.8515625000,1,-2.2356297970,1.7387770414,0.5453788042,86,0.0880627707,2,0,262
2025-01-17 08:00:52.386783,0,1,0,0,0,1,1,1,1,1,1,0,0,3,31,150,5807,48763,2808,80,123660.8906250000,1,-2.2014186382,1.7640372515,0.6490334868,89,0.0901898965,2,0,262
2025-01-17 08:00:52.916749,0,1,0,0,0,1,1,0,0,0,0,1,1,3,32,150,5744,48763,2825,80,123703.2343750000,1,-2.1706974506,1.7892850637,0.7491638064,92,0.0910407454,2,0,262
2025-01-17 08:00:53.450947,0,1,0,0,0,1,1,1,1,1,1,0,0,3,39,150,5884,48763,2878,80,123744.4843750000,1,-2.1422390938,1.8197441101,0.8480228186,93,0.0944441259,2,0,262
2025-01-17 08:00:53.996776,0,1,0,0,0,1,1,0,0,0,0,1,1,3,52,150,5728,48763,2794,80,123788.3593750000,1,-2.1108932495,1.8629002571,0.9726829529,88,0.1008254886,2,0,262
